service,provider,quarter,complaints_per_100k,year,q,t,is_industry_avg
Fixed broadband,BT,2011 Q1,41.0,2011,1,8044,False
Fixed broadband,BT,2011 Q2,43.0,2011,2,8045,False
Fixed broadband,BT,2011 Q3,49.0,2011,3,8046,False
Fixed broadband,BT,2011 Q4,39.0,2011,4,8047,False
Fixed broadband,BT,2012 Q1,37.0,2012,1,8048,False
Fixed broadband,BT,2012 Q2,31.0,2012,2,8049,False
Fixed broadband,BT,2012 Q3,34.0,2012,3,8050,False
Fixed broadband,BT,2012 Q4,29.0,2012,4,8051,False
Fixed broadband,BT,2013 Q1,33.0,2013,1,8052,False
Fixed broadband,BT,2013 Q2,28.0,2013,2,8053,False
Fixed broadband,BT,2013 Q3,40.0,2013,3,8054,False
Fixed broadband,BT,2013 Q4,32.0,2013,4,8055,False
Fixed broadband,BT,2014 Q1,33.0,2014,1,8056,False
Fixed broadband,BT,2014 Q2,27.0,2014,2,8057,False
Fixed broadband,BT,2014 Q3,27.0,2014,3,8058,False
Fixed broadband,BT,2014 Q4,26.0,2014,4,8059,False
Fixed broadband,BT,2015 Q1,25.0,2015,1,8060,False
Fixed broadband,BT,2015 Q2,22.0,2015,2,8061,False
Fixed broadband,BT,2015 Q3,35.0,2015,3,8062,False
Fixed broadband,BT,2015 Q4,28.0,2015,4,8063,False
Fixed broadband,BT,2016 Q1,31.0,2016,1,8064,False
Fixed broadband,BT,2016 Q2,26.0,2016,2,8065,False
Fixed broadband,BT,2016 Q3,36.0,2016,3,8066,False
Fixed broadband,BT,2016 Q4,33.0,2016,4,8067,False
Fixed broadband,BT,2017 Q1,34.0,2017,1,8068,False
Fixed broadband,BT,2017 Q2,28.0,2017,2,8069,False
Fixed broadband,BT,2017 Q3,25.0,2017,3,8070,False
Fixed broadband,BT,2017 Q4,27.0,2017,4,8071,False
Fixed broadband,BT,2018 Q1,23.0,2018,1,8072,False
Fixed broadband,BT,2018 Q2,15.0,2018,2,8073,False
Fixed broadband,BT,2018 Q3,22.0,2018,3,8074,False
Fixed broadband,BT,2018 Q4,18.0,2018,4,8075,False
Fixed broadband,BT,2019 Q1,15.0,2019,1,8076,False
Fixed broadband,BT,2019 Q2,12.0,2019,2,8077,False
Fixed broadband,BT,2019 Q3,13.0,2019,3,8078,False
Fixed broadband,BT,2019 Q4,10.0,2019,4,8079,False
Fixed broadband,BT,2020 Q1,12.0,2020,1,8080,False
Fixed broadband,BT,2020 Q2,7.0,2020,2,8081,False
Fixed broadband,BT,2020 Q3,16.0,2020,3,8082,False
Fixed broadband,BT,2020 Q4,14.0,2020,4,8083,False
Fixed broadband,BT,2021 Q1,15.0,2021,1,8084,False
Fixed broadband,BT,2021 Q2,10.0,2021,2,8085,False
Fixed broadband,BT,2021 Q3,9.0,2021,3,8086,False
Fixed broadband,BT,2021 Q4,8.0,2021,4,8087,False
Fixed broadband,BT,2022 Q1,7.0,2022,1,8088,False
Fixed broadband,BT,2022 Q2,8.0,2022,2,8089,False
